"date" "interval" "steps"
"7040" "2012-10-01" 935 46
"7108" "2012-10-01" 940 25
"7189" "2012-10-01" 945 39
"7247" "2012-10-01" 950 35
"7290" "2012-10-01" 955 22
"7357" "2012-10-01" 1000 41
"7437" "2012-10-01" 1005 27
"7488" "2012-10-01" 1010 43
"7535" "2012-10-01" 1015 53
"7577" "2012-10-01" 1020 39
"7631" "2012-10-01" 1025 51
"7688" "2012-10-01" 1030 45
"7790" "2012-10-01" 1035 38
"7816" "2012-10-01" 1040 35
"7880" "2012-10-01" 1045 29
"7948" "2012-10-01" 1050 26
"8017" "2012-10-01" 1055 32
"8101" "2012-10-01" 1100 32
"8142" "2012-10-01" 1105 30
"8209" "2012-10-01" 1110 22
"8263" "2012-10-01" 1115 26
"8305" "2012-10-01" 1120 29
"8367" "2012-10-01" 1125 27
"8455" "2012-10-01" 1130 34
"8512" "2012-10-01" 1135 50
"8589" "2012-10-01" 1140 43
"8642" "2012-10-01" 1145 45
"8675" "2012-10-01" 1150 47
"8757" "2012-10-01" 1155 60
"8798" "2012-10-01" 1200 64
"8895" "2012-10-01" 1205 88
"8959" "2012-10-01" 1210 95
"9004" "2012-10-01" 1215 93
"9045" "2012-10-01" 1220 64
"9127" "2012-10-01" 1225 51
"9195" "2012-10-01" 1230 55
"9249" "2012-10-01" 1235 33
"9305" "2012-10-01" 1240 27
"9374" "2012-10-01" 1245 38
"9406" "2012-10-01" 1250 46
"9505" "2012-10-01" 1255 68
"9563" "2012-10-01" 1300 43
"9630" "2012-10-01" 1305 40
"9661" "2012-10-01" 1310 44
"9729" "2012-10-01" 1315 41
"9785" "2012-10-01" 1320 47
"9855" "2012-10-01" 1325 57
"9923" "2012-10-01" 1330 43
"9964" "2012-10-01" 1335 26
"10018" "2012-10-01" 1340 40
"10123" "2012-10-01" 1345 54
"10141" "2012-10-01" 1350 48
"10210" "2012-10-01" 1355 61
"10294" "2012-10-01" 1400 56
"10363" "2012-10-01" 1405 52
"10415" "2012-10-01" 1410 44
"10457" "2012-10-01" 1415 49
"10511" "2012-10-01" 1420 36
"10580" "2012-10-01" 1425 38
"10619" "2012-10-01" 1430 42
"10729" "2012-10-01" 1435 28
"10763" "2012-10-01" 1440 18
"10807" "2012-10-01" 1445 27
"10871" "2012-10-01" 1450 44
"10939" "2012-10-01" 1455 44
"11036" "2012-10-01" 1500 31
"11078" "2012-10-01" 1505 37
"11133" "2012-10-01" 1510 36
"11174" "2012-10-01" 1515 39
"11279" "2012-10-01" 1520 46
"11333" "2012-10-01" 1525 48
"11381" "2012-10-01" 1530 49
"11435" "2012-10-01" 1535 66
"11517" "2012-10-01" 1540 83
"11584" "2012-10-01" 1545 99
"11642" "2012-10-01" 1550 103
"11709" "2012-10-01" 1555 84
"11765" "2012-10-01" 1600 63
"11819" "2012-10-01" 1605 65
"11873" "2012-10-01" 1610 75
"11951" "2012-10-01" 1615 64
"12006" "2012-10-01" 1620 57
"12077" "2012-10-01" 1625 60
"12137" "2012-10-01" 1630 44
"12174" "2012-10-01" 1635 39
"12243" "2012-10-01" 1640 45
"12312" "2012-10-01" 1645 46
"12373" "2012-10-01" 1650 47
"12440" "2012-10-01" 1655 44
"12489" "2012-10-01" 1700 47
"12557" "2012-10-01" 1705 57
"12627" "2012-10-01" 1710 51
"12672" "2012-10-01" 1715 62
"12747" "2012-10-01" 1720 73
"12779" "2012-10-01" 1725 79
"12871" "2012-10-01" 1730 69
"12913" "2012-10-01" 1735 60
"12983" "2012-10-01" 1740 76
"13049" "2012-10-01" 1745 57
"13096" "2012-10-01" 1750 35
"13148" "2012-10-01" 1755 38
"13229" "2012-10-01" 1800 41
"13279" "2012-10-01" 1805 59
"13311" "2012-10-01" 1810 75
"13407" "2012-10-01" 1815 86
"13479" "2012-10-01" 1820 60
"13528" "2012-10-01" 1825 68
"13599" "2012-10-01" 1830 78
"13641" "2012-10-01" 1835 75
"13683" "2012-10-01" 1840 86
"13737" "2012-10-01" 1845 100
"13817" "2012-10-01" 1850 87
"13889" "2012-10-01" 1855 86
"13959" "2012-10-01" 1900 85
"14028" "2012-10-01" 1905 78
"14052" "2012-10-01" 1910 59
"14098" "2012-10-01" 1915 54
"14202" "2012-10-01" 1920 37
"14242" "2012-10-01" 1925 21
"14326" "2012-10-01" 1930 28
"14383" "2012-10-01" 1935 41
"14423" "2012-10-01" 1940 31
"14472" "2012-10-01" 1945 26
"14533" "2012-10-01" 1950 46
"14640" "2012-10-01" 1955 34
"14683" "2012-10-01" 2000 20
"14742" "2012-10-01" 2005 20
"14809" "2012-10-01" 2010 20
"14879" "2012-10-01" 2015 34
"14919" "2012-10-01" 2020 27
"14951" "2012-10-01" 2025 22
"15029" "2012-10-01" 2030 28
"15073" "2012-10-01" 2035 22
"15152" "2012-10-01" 2040 20
"15234" "2012-10-01" 2045 22
"15299" "2012-10-01" 2050 33
"15330" "2012-10-01" 2055 21
"15399" "2012-10-01" 2100 16
"15479" "2012-10-01" 2105 18
"15510" "2012-10-01" 2110 24
"15600" "2012-10-01" 2115 20
"15660" "2012-10-01" 2120 13
"15700" "2012-10-01" 2125 9
"15739" "2012-10-01" 2130 15
"15851" "2012-10-01" 2135 17
"15903" "2012-10-01" 2140 9
"15974" "2012-10-01" 2145 8
"16030" "2012-10-01" 2150 9
"16103" "2012-10-01" 2155 3
"16111" "2012-10-01" 2200 2
"16210" "2012-10-01" 2205 4
"16277" "2012-10-01" 2210 5
"16332" "2012-10-01" 2215 9
"16400" "2012-10-01" 2220 8
"16440" "2012-10-01" 2225 9
"16473" "2012-10-01" 2230 10
"16550" "2012-10-01" 2235 3
"16632" "2012-10-01" 2240 1
"16701" "2012-10-01" 2245 1
"16772" "2012-10-01" 2250 2
"16823" "2012-10-01" 2255 5
"16882" "2012-10-01" 2300 4
"16948" "2012-10-01" 2305 3
"17010" "2012-10-01" 2310 0
"17078" "2012-10-01" 2315 1
"17140" "2012-10-01" 2320 1
"17168" "2012-10-01" 2325 2
"17252" "2012-10-01" 2330 3
"17291" "2012-10-01" 2335 5
"17382" "2012-10-01" 2340 4
"17440" "2012-10-01" 2345 1
"17493" "2012-10-01" 2350 1
"17537" "2012-10-01" 2355 2
"34" "2012-10-02" 0 0
"117" "2012-10-02" 5 0
"180" "2012-10-02" 10 0
"212" "2012-10-02" 15 0
"253" "2012-10-02" 20 0
"307" "2012-10-02" 25 0
"421" "2012-10-02" 30 0
"460" "2012-10-02" 35 0
"535" "2012-10-02" 40 0
"583" "2012-10-02" 45 0
"628" "2012-10-02" 50 0
"729" "2012-10-02" 55 0
"787" "2012-10-02" 100 0
"845" "2012-10-02" 105 0
"887" "2012-10-02" 110 0
"955" "2012-10-02" 115 0
"1025" "2012-10-02" 120 0
"1068" "2012-10-02" 125 0
"1121" "2012-10-02" 130 0
"1188" "2012-10-02" 135 0
"1274" "2012-10-02" 140 0
"1342" "2012-10-02" 145 0
"1399" "2012-10-02" 150 0
"1463" "2012-10-02" 155 0
"1514" "2012-10-02" 200 0
"1578" "2012-10-02" 205 0
"1614" "2012-10-02" 210 0
"1655" "2012-10-02" 215 0
"1764" "2012-10-02" 220 0
"1819" "2012-10-02" 225 0
"1861" "2012-10-02" 230 0
"1914" "2012-10-02" 235 0
"1984" "2012-10-02" 240 0
"2026" "2012-10-02" 245 0
"2076" "2012-10-02" 250 0
"2140" "2012-10-02" 255 0
"2199" "2012-10-02" 300 0
"2260" "2012-10-02" 305 0
"2355" "2012-10-02" 310 0
"2428" "2012-10-02" 315 0
"2478" "2012-10-02" 320 0
"2512" "2012-10-02" 325 0
"2574" "2012-10-02" 330 0
"2642" "2012-10-02" 335 0
"2725" "2012-10-02" 340 0
"2766" "2012-10-02" 345 0
"2847" "2012-10-02" 350 0
"2902" "2012-10-02" 355 0
"2936" "2012-10-02" 400 0
"2993" "2012-10-02" 405 0
"3109" "2012-10-02" 410 0
"3168" "2012-10-02" 415 0
"3218" "2012-10-02" 420 0
"3259" "2012-10-02" 425 0
"3313" "2012-10-02" 430 0
"3369" "2012-10-02" 435 0
"3440" "2012-10-02" 440 0
"3492" "2012-10-02" 445 0
"3559" "2012-10-02" 450 0
"3649" "2012-10-02" 455 0
"3699" "2012-10-02" 500 0
"3740" "2012-10-02" 505 0
"3822" "2012-10-02" 510 0
"3876" "2012-10-02" 515 0
"3960" "2012-10-02" 520 0
"4014" "2012-10-02" 525 0
"4058" "2012-10-02" 530 0
"4098" "2012-10-02" 535 0
"4181" "2012-10-02" 540 0
"4266" "2012-10-02" 545 0
"4308" "2012-10-02" 550 0
"4380" "2012-10-02" 555 0
"4429" "2012-10-02" 600 0
"4484" "2012-10-02" 605 0
"4538" "2012-10-02" 610 0
"4606" "2012-10-02" 615 0
"4651" "2012-10-02" 620 0
"4706" "2012-10-02" 625 0
"4783" "2012-10-02" 630 0
"4868" "2012-10-02" 635 0
"4908" "2012-10-02" 640 0
"4977" "2012-10-02" 645 0
"5044" "2012-10-02" 650 0
"5084" "2012-10-02" 655 0
"5153" "2012-10-02" 700 0
"5225" "2012-10-02" 705 0
"5278" "2012-10-02" 710 0
"5346" "2012-10-02" 715 0
"5414" "2012-10-02" 720 0
"5455" "2012-10-02" 725 0
"5524" "2012-10-02" 730 0
"5568" "2012-10-02" 735 0
"5661" "2012-10-02" 740 0
"5729" "2012-10-02" 745 0
"5790" "2012-10-02" 750 0
"5811" "2012-10-02" 755 0
"5909" "2012-10-02" 800 0
"5975" "2012-10-02" 805 0
"6005" "2012-10-02" 810 0
"6072" "2012-10-02" 815 0
"6140" "2012-10-02" 820 0
"6181" "2012-10-02" 825 0
"6239" "2012-10-02" 830 0
"6342" "2012-10-02" 835 0
"6387" "2012-10-02" 840 0
"6456" "2012-10-02" 845 0
"6525" "2012-10-02" 850 0
"6555" "2012-10-02" 855 0
"6617" "2012-10-02" 900 0
"6707" "2012-10-02" 905 0
"6760" "2012-10-02" 910 0
"6826" "2012-10-02" 915 0
"6881" "2012-10-02" 920 0
"6946" "2012-10-02" 925 0
"7003" "2012-10-02" 930 0
"7044" "2012-10-02" 935 0
"7085" "2012-10-02" 940 0
"7167" "2012-10-02" 945 0
"7239" "2012-10-02" 950 0
"7280" "2012-10-02" 955 0
"7334" "2012-10-02" 1000 0
"7429" "2012-10-02" 1005 0
"7498" "2012-10-02" 1010 0
"7504" "2012-10-02" 1015 0
"7596" "2012-10-02" 1020 0
"7628" "2012-10-02" 1025 0
"7695" "2012-10-02" 1030 0
"7801" "2012-10-02" 1035 0
"7832" "2012-10-02" 1040 0
"7874" "2012-10-02" 1045 0
"7941" "2012-10-02" 1050 0
"8051" "2012-10-02" 1055 0
"8103" "2012-10-02" 1100 0
"8125" "2012-10-02" 1105 0
"8201" "2012-10-02" 1110 0
"8243" "2012-10-02" 1115 0
"8311" "2012-10-02" 1120 0
"8358" "2012-10-02" 1125 0
"8434" "2012-10-02" 1130 0
"8532" "2012-10-02" 1135 0
"8587" "2012-10-02" 1140 0
"8627" "2012-10-02" 1145 0
"8696" "2012-10-02" 1150 0
"8750" "2012-10-02" 1155 0
"8791" "2012-10-02" 1200 0
"8874" "2012-10-02" 1205 0
"8956" "2012-10-02" 1210 0
"8998" "2012-10-02" 1215 0
"9064" "2012-10-02" 1220 0
"9107" "2012-10-02" 1225 0
"9175" "2012-10-02" 1230 0
"9214" "2012-10-02" 1235 0
"9285" "2012-10-02" 1240 0
"9351" "2012-10-02" 1245 0
"9397" "2012-10-02" 1250 0
"9490" "2012-10-02" 1255 0
"9532" "2012-10-02" 1300 0
"9580" "2012-10-02" 1305 0
"9651" "2012-10-02" 1310 0
"9702" "2012-10-02" 1315 0
"9763" "2012-10-02" 1320 0
"9858" "2012-10-02" 1325 0
"9899" "2012-10-02" 1330 0
"9969" "2012-10-02" 1335 0
"10037" "2012-10-02" 1340 0
"10091" "2012-10-02" 1345 0
"10128" "2012-10-02" 1350 0
"10198" "2012-10-02" 1355 0
"10297" "2012-10-02" 1400 0
"10324" "2012-10-02" 1405 0
"10407" "2012-10-02" 1410 0
"10487" "2012-10-02" 1415 0
"10527" "2012-10-02" 1420 0
"10581" "2012-10-02" 1425 0
"10652" "2012-10-02" 1430 0
"10706" "2012-10-02" 1435 0
"10766" "2012-10-02" 1440 0
"10836" "2012-10-02" 1445 0
"10890" "2012-10-02" 1450 0
"10943" "2012-10-02" 1455 0
"11006" "2012-10-02" 1500 0
"11097" "2012-10-02" 1505 0
"11152" "2012-10-02" 1510 0
"11216" "2012-10-02" 1515 0
"11260" "2012-10-02" 1520 0
"11301" "2012-10-02" 1525 0
"11406" "2012-10-02" 1530 0
"11467" "2012-10-02" 1535 0
"11510" "2012-10-02" 1540 0
"11576" "2012-10-02" 1545 0
"11629" "2012-10-02" 1550 0
"11692" "2012-10-02" 1555 0
"11764" "2012-10-02" 1600 0
"11826" "2012-10-02" 1605 0
"11884" "2012-10-02" 1610 0
"11920" "2012-10-02" 1615 0
"11986" "2012-10-02" 1620 0
"12044" "2012-10-02" 1625 0
"12125" "2012-10-02" 1630 0
"12194" "2012-10-02" 1635 0
"12252" "2012-10-02" 1640 0
"12303" "2012-10-02" 1645 0
"12370" "2012-10-02" 1650 0
"12425" "2012-10-02" 1655 0
"12481" "2012-10-02" 1700 0
"12559" "2012-10-02" 1705 0
"12616" "2012-10-02" 1710 0
"12632" "2012-10-02" 1715 0
"12715" "2012-10-02" 1720 0
"12769" "2012-10-02" 1725 0
"12851" "2012-10-02" 1730 0
"12906" "2012-10-02" 1735 0
"12960" "2012-10-02" 1740 0
"13027" "2012-10-02" 1745 0
"13083" "2012-10-02" 1750 0
"13162" "2012-10-02" 1755 0
"13207" "2012-10-02" 1800 0
"13274" "2012-10-02" 1805 0
"13339" "2012-10-02" 1810 0
"13370" "2012-10-02" 1815 0
"13428" "2012-10-02" 1820 0
"13542" "2012-10-02" 1825 0
"13568" "2012-10-02" 1830 0
"13660" "2012-10-02" 1835 0
"13700" "2012-10-02" 1840 0
"13767" "2012-10-02" 1845 0
"13822" "2012-10-02" 1850 0
"13852" "2012-10-02" 1855 0
"13968" "2012-10-02" 1900 0
"14003" "2012-10-02" 1905 0
"14076" "2012-10-02" 1910 0
"14149" "2012-10-02" 1915 0
"14212" "2012-10-02" 1920 0
"14248" "2012-10-02" 1925 0
"14292" "2012-10-02" 1930 0
"14360" "2012-10-02" 1935 0
"14441" "2012-10-02" 1940 0
"14496" "2012-10-02" 1945 0
"14550" "2012-10-02" 1950 0
"14591" "2012-10-02" 1955 0
"14697" "2012-10-02" 2000 0
"14757" "2012-10-02" 2005 0
"14801" "2012-10-02" 2010 0
"14873" "2012-10-02" 2015 0
"14933" "2012-10-02" 2020 0
"15000" "2012-10-02" 2025 0
"15022" "2012-10-02" 2030 0
"15103" "2012-10-02" 2035 0
"15171" "2012-10-02" 2040 0
"15211" "2012-10-02" 2045 0
"15311" "2012-10-02" 2050 0
"15365" "2012-10-02" 2055 0
"15428" "2012-10-02" 2100 0
"15488" "2012-10-02" 2105 0
"15529" "2012-10-02" 2110 0
"15616" "2012-10-02" 2115 0
"15652" "2012-10-02" 2120 0
"15720" "2012-10-02" 2125 0
"15789" "2012-10-02" 2130 0
"15843" "2012-10-02" 2135 0
"15872" "2012-10-02" 2140 0
"15976" "2012-10-02" 2145 0
"16018" "2012-10-02" 2150 0
"16086" "2012-10-02" 2155 0
"16146" "2012-10-02" 2200 0
"16191" "2012-10-02" 2205 0
"16268" "2012-10-02" 2210 117
"16310" "2012-10-02" 2215 9
"16407" "2012-10-02" 2220 0
"16461" "2012-10-02" 2225 0
"16525" "2012-10-02" 2230 0
"16556" "2012-10-02" 2235 0
"16611" "2012-10-02" 2240 0
"16705" "2012-10-02" 2245 0
"16747" "2012-10-02" 2250 0
"16785" "2012-10-02" 2255 0
"16885" "2012-10-02" 2300 0
"16925" "2012-10-02" 2305 0
"17007" "2012-10-02" 2310 0
"17062" "2012-10-02" 2315 0
"17129" "2012-10-02" 2320 0
"17144" "2012-10-02" 2325 0
"17254" "2012-10-02" 2330 0
"17276" "2012-10-02" 2335 0
"17337" "2012-10-02" 2340 0
"17434" "2012-10-02" 2345 0
"17503" "2012-10-02" 2350 0
"17541" "2012-10-02" 2355 0
"52" "2012-10-03" 0 0
"93" "2012-10-03" 5 0
"181" "2012-10-03" 10 0
"236" "2012-10-03" 15 0
"303" "2012-10-03" 20 0
"339" "2012-10-03" 25 0
"426" "2012-10-03" 30 0
"488" "2012-10-03" 35 0
"539" "2012-10-03" 40 0
"609" "2012-10-03" 45 0
"667" "2012-10-03" 50 0
"732" "2012-10-03" 55 0
"771" "2012-10-03" 100 0
"846" "2012-10-03" 105 0
"907" "2012-10-03" 110 0
"969" "2012-10-03" 115 0
"1031" "2012-10-03" 120 0
"1072" "2012-10-03" 125 0
"1112" "2012-10-03" 130 0
"1210" "2012-10-03" 135 0
"1264" "2012-10-03" 140 0
"1318" "2012-10-03" 145 0
"1394" "2012-10-03" 150 0
"1461" "2012-10-03" 155 0
"1520" "2012-10-03" 200 0
"1580" "2012-10-03" 205 0
"1639" "2012-10-03" 210 0
"1689" "2012-10-03" 215 0
"1744" "2012-10-03" 220 0
"1797" "2012-10-03" 225 0
"1842" "2012-10-03" 230 0
"1896" "2012-10-03" 235 0
"2011" "2012-10-03" 240 0
"2070" "2012-10-03" 245 0
"2123" "2012-10-03" 250 0
"2167" "2012-10-03" 255 0
"2208" "2012-10-03" 300 0
"2275" "2012-10-03" 305 0
"2379" "2012-10-03" 310 0
"2434" "2012-10-03" 315 0
"2493" "2012-10-03" 320 0
"2551" "2012-10-03" 325 0
"2606" "2012-10-03" 330 0
"2647" "2012-10-03" 335 0
"2716" "2012-10-03" 340 0
"2806" "2012-10-03" 345 0
"2858" "2012-10-03" 350 0
"2907" "2012-10-03" 355 0
"2934" "2012-10-03" 400 0
"3016" "2012-10-03" 405 0
"3088" "2012-10-03" 410 4
"3163" "2012-10-03" 415 0
"3211" "2012-10-03" 420 0
"3264" "2012-10-03" 425 0
"3332" "2012-10-03" 430 36
"3412" "2012-10-03" 435 0
"3465" "2012-10-03" 440 0
"3522" "2012-10-03" 445 0
"3551" "2012-10-03" 450 0
"3656" "2012-10-03" 455 0
"3719" "2012-10-03" 500 0
"3758" "2012-10-03" 505 0
"3812" "2012-10-03" 510 0
"3881" "2012-10-03" 515 0
"3953" "2012-10-03" 520 0
"4019" "2012-10-03" 525 0
"4076" "2012-10-03" 530 0
"4130" "2012-10-03" 535 25
"4184" "2012-10-03" 540 0
"4229" "2012-10-03" 545 0
"4321" "2012-10-03" 550 90
"4375" "2012-10-03" 555 411
"4453" "2012-10-03" 600 413
"4504" "2012-10-03" 605 415
"4544" "2012-10-03" 610 519
"4598" "2012-10-03" 615 529
"4667" "2012-10-03" 620 613
"4722" "2012-10-03" 625 562
"4804" "2012-10-03" 630 612
"4878" "2012-10-03" 635 534
"4916" "2012-10-03" 640 323
"4944" "2012-10-03" 645 600
"5025" "2012-10-03" 650 533
"5093" "2012-10-03" 655 251
"5174" "2012-10-03" 700 56
"5239" "2012-10-03" 705 0
"5297" "2012-10-03" 710 32
"5358" "2012-10-03" 715 80
"5421" "2012-10-03" 720 10
"5476" "2012-10-03" 725 9
"5508" "2012-10-03" 730 145
"5598" "2012-10-03" 735 46
"5663" "2012-10-03" 740 0
"5709" "2012-10-03" 745 44
"5791" "2012-10-03" 750 126
"5834" "2012-10-03" 755 42
"5875" "2012-10-03" 800 138
"5969" "2012-10-03" 805 53
"6024" "2012-10-03" 810 0
"6078" "2012-10-03" 815 0
"6152" "2012-10-03" 820 22
"6201" "2012-10-03" 825 57
"6282" "2012-10-03" 830 161
"6327" "2012-10-03" 835 19
"6354" "2012-10-03" 840 15
"6409" "2012-10-03" 845 0
"6508" "2012-10-03" 850 16
"6557" "2012-10-03" 855 0
"6623" "2012-10-03" 900 0
"6697" "2012-10-03" 905 8
"6751" "2012-10-03" 910 0
"6805" "2012-10-03" 915 51
"6873" "2012-10-03" 920 516
"6927" "2012-10-03" 925 245
"6972" "2012-10-03" 930 0
"7038" "2012-10-03" 935 161
"7132" "2012-10-03" 940 7
"7159" "2012-10-03" 945 0
"7217" "2012-10-03" 950 0
"7270" "2012-10-03" 955 0
"7324" "2012-10-03" 1000 0
"7422" "2012-10-03" 1005 0
"7476" "2012-10-03" 1010 0
"7553" "2012-10-03" 1015 0
"7575" "2012-10-03" 1020 0
"7641" "2012-10-03" 1025 0
"7697" "2012-10-03" 1030 0
"7780" "2012-10-03" 1035 0
"7850" "2012-10-03" 1040 0
"7883" "2012-10-03" 1045 0
"7947" "2012-10-03" 1050 0
"8029" "2012-10-03" 1055 0
"8111" "2012-10-03" 1100 0
"8140" "2012-10-03" 1105 0
"8206" "2012-10-03" 1110 0
"8247" "2012-10-03" 1115 0
"8330" "2012-10-03" 1120 0
"8386" "2012-10-03" 1125 0
"8475" "2012-10-03" 1130 0
"8529" "2012-10-03" 1135 72
"8579" "2012-10-03" 1140 73
"8647" "2012-10-03" 1145 0
"8702" "2012-10-03" 1150 0
"8782" "2012-10-03" 1155 116
"8843" "2012-10-03" 1200 97
"8889" "2012-10-03" 1205 0
"8949" "2012-10-03" 1210 0
"9017" "2012-10-03" 1215 0
"9072" "2012-10-03" 1220 0
"9136" "2012-10-03" 1225 0
"9167" "2012-10-03" 1230 15
"9235" "2012-10-03" 1235 0
"9298" "2012-10-03" 1240 0
"9343" "2012-10-03" 1245 0
"9426" "2012-10-03" 1250 0
"9496" "2012-10-03" 1255 0
"9551" "2012-10-03" 1300 80
"9596" "2012-10-03" 1305 69
"9650" "2012-10-03" 1310 0
"9708" "2012-10-03" 1315 0
"9770" "2012-10-03" 1320 0
"9851" "2012-10-03" 1325 0
"9920" "2012-10-03" 1330 0
"10003" "2012-10-03" 1335 0
"10030" "2012-10-03" 1340 0
"10084" "2012-10-03" 1345 99
"10150" "2012-10-03" 1350 100
"10204" "2012-10-03" 1355 0
"10277" "2012-10-03" 1400 0
"10369" "2012-10-03" 1405 33
"10423" "2012-10-03" 1410 0
"10490" "2012-10-03" 1415 0
"10532" "2012-10-03" 1420 7
"10563" "2012-10-03" 1425 0
"10670" "2012-10-03" 1430 0
"10713" "2012-10-03" 1435 0
"10793" "2012-10-03" 1440 0
"10842" "2012-10-03" 1445 0
"10894" "2012-10-03" 1450 0
"10961" "2012-10-03" 1455 0
"11022" "2012-10-03" 1500 0
"11101" "2012-10-03" 1505 0
"11157" "2012-10-03" 1510 0
"11220" "2012-10-03" 1515 0
"11251" "2012-10-03" 1520 0
"11319" "2012-10-03" 1525 0
"11392" "2012-10-03" 1530 0
"11432" "2012-10-03" 1535 0
"11499" "2012-10-03" 1540 0
"11554" "2012-10-03" 1545 88
"11607" "2012-10-03" 1550 154
"11680" "2012-10-03" 1555 0
"11748" "2012-10-03" 1600 20
"11802" "2012-10-03" 1605 0
"11876" "2012-10-03" 1610 0
"11948" "2012-10-03" 1615 0
"11989" "2012-10-03" 1620 0
"12037" "2012-10-03" 1625 0
"12085" "2012-10-03" 1630 0
"12172" "2012-10-03" 1635 0
"12213" "2012-10-03" 1640 0
"12310" "2012-10-03" 1645 0
"12364" "2012-10-03" 1650 0
"12417" "2012-10-03" 1655 0
"12451" "2012-10-03" 1700 0
"12515" "2012-10-03" 1705 0
"12571" "2012-10-03" 1710 198
"12652" "2012-10-03" 1715 61
"12736" "2012-10-03" 1720 75
"12790" "2012-10-03" 1725 0
"12817" "2012-10-03" 1730 0
"12875" "2012-10-03" 1735 193
"12953" "2012-10-03" 1740 298
"13021" "2012-10-03" 1745 0
"13112" "2012-10-03" 1750 15
"13160" "2012-10-03" 1755 21
"13187" "2012-10-03" 1800 0
"13238" "2012-10-03" 1805 0
"13314" "2012-10-03" 1810 0
"13364" "2012-10-03" 1815 0
"13432" "2012-10-03" 1820 51
"13536" "2012-10-03" 1825 36
"13590" "2012-10-03" 1830 0
